Device Time, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Torque(Nm),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Y axis)(g),Mass Air Flow Rate(g/s),Speed (OBD)(mph),Relative Accelerator Pedal Position(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%)
15-Jan-2015 17:01:21.470,0.1819526,-0.81402063,5.6024313,-0.4036113,2317,0.01201163,16.17136765,-0.42241403,0.01854767,0.47109389,-0.08297865,7.1500001,32.31130219,-,-,-,-
15-Jan-2015 17:01:22.468,-0.46925801,-0.89063996,10.00775528,0.04430681,2340.5,0.01256601,16.35782051,-0.03196054,-0.0205,0.86744249,0.00976167,7.48000002,32.93267441,-,-,-,-
15-Jan-2015 17:01:23.471,0.52671516,-1.20666909,9.0309248,-0.05068457,2367,0.01238122,16.35782051,-0.32084268,0.0205,0.57847822,-0.01366633,7.36999989,32.31130219,-,-,-,-
15-Jan-2015 17:01:24.472,-0.60333455,-1.38863146,8.6382761,-0.02805911,2355.25,0.00524144,16.35782051,-0.1057134,-0.06150199,0.78055817,-0.14155264,3.11999989,32.31130219,-,-,-,-
15-Jan-2015 17:01:25.471,-0.51714391,-1.10132611,8.10196972,-0.09134514,2317,0.00490545,33.04312134,0.03127025,-0.06052532,0.92211086,-0.12007598,2.92000008,32.93267441,-,-,-,-
15-Jan-2015 17:01:26.470,0.1819526,-0.59375346,10.20886993,0.0615831,2250.75,0.00492225,33.04312134,-0.11118004,-0.07809832,0.78251052,-0.06735899,2.93000007,31.68992996,-,-,-,-
15-Jan-2015 17:01:27.469,-0.1819526,-1.33117437,10.02690792,0.05024582,2205.25,0.00678699,33.04312134,0.03159806,-0.01854767,0.92211086,-0.13569565,4.03999996,31.06855965,-,-,-,-
15-Jan-2015 17:01:28.469,0.91937345,-0.55544865,8.4658947,-0.11109537,2179.5,0.01700107,-,-0.03716682,-0.023429,0.86060888,-0.05564499,10.11999989,30.44718933,-,-,-,-
15-Jan-2015 17:01:29.470,-0.00957129,-0.11491433,9.89284134,-0.06754231,2258.5,0.00860133,32.46482086,-0.07686536,0.04783466,0.82156014,-0.005857,5.11999989,31.68992996,-,-,-,-
15-Jan-2015 17:01:30.470,1.14921188,-0.25857195,7.23048258,-0.23423088,2303,0.02452724,32.46482086,-0.25297573,0.11714698,0.63705224,-0.026358,14.60000038,31.68992996,-,-,-,-
15-Jan-2015 17:01:31.470,-0.13406672,-0.38306737,9.73961163,0.01268637,2285.75,0.00855094,32.46482086,-0.04332276,-0.03416733,0.85572755,-0.00488033,4.30999994,31.68992996,-,-,-,-
15-Jan-2015 17:01:32.472,0.60333455,-0.3160291,6.68460512,-0.29606491,2337.5,0.01847943,32.9499855,0.43945429,-0.03709633,1.33603239,-0.08395532,11,32.93267441,-,-,-,-
15-Jan-2015 17:01:33.470,1.65678453,0.59375346,7.61355972,-0.06066506,2375.75,0.01471635,16.2597065,-0.20316002,0.1688873,0.67610186,0.06052532,8.76000023,33.55404282,-,-,-,-
15-Jan-2015 17:01:34.470,0.76614457,-0.363915,10.25675583,0.0295267,2394.5,0.01359078,16.2597065,-0.01065962,0.04490566,0.88794345,-0.008786,8.09000015,32.93267441,-,-,-,-
15-Jan-2015 17:01:35.469,-0.20110498,0.03830478,9.60553551,-0.00162017,2415.5,0.01367478,16.2597065,-0.05124261,0.04978699,0.84596586,-0.04685899,8.14000034,32.93267441,-,-,-,-
15-Jan-2015 17:01:36.469,0.91937345,0.52671516,8.54250431,-0.10353166,2434.25,0.01518673,-,-0.12223192,0.09371798,0.77079552,0.05369166,9.03999996,34.17541504,-,-,-,-
15-Jan-2015 17:01:37.467,-0.82360172,0.04787607,11.377244,0.18180484,2431.25,0.00519104,16.09694099,-0.31814077,0.06540665,0.57847822,-0.00195233,3.08999991,33.55404282,-,-,-,-
